

METROPOLITAN AREAS AND COMPONENTS, 1998, WITH FIPS CODES

(Metropolitan areas defined by Office of Management and Budget, 6/30/98)

Source:			U.S. Census Bureau
Internet Release date:	July 1996
Revised date:		November 3, 1998 

The file layout is located at the end of the data file.

GUIDE TO FIPS CODES:
     MSA= Metropolitan Statistical Area
     CMSA= Consolidated Metropolitan Statistical Area  
     PMSA= Primary Metropolitan Statistical Area
     ALT. CM= Alternative Consolidated Metropolitan Statistical Area
     SS= State
     CCC= County
     EEEEE= Entity (city/town)

MSA/		ALT.
CMSA	PMSA	CM	SS	CCC	F	EEEEE	Metropolitan Area and Components
1122	1120	07	25	023	2	33220	        Kingston town
1122	1120	07	25	023	2	38855	        Marshfield town
1122	1120	07	25	023	2	50145	        Norwell town
1122	1120	07	25	023	2	52630	        Pembroke town
1122	1120	07	25	023	2	54310	        Plymouth town
1122	1120	07	25	023	1	57775	        Rockland town
1122	1120	07	25	023	1	60330	        Scituate town
1122	1120	07	25	023	2	72985	        Wareham town
1122	1120	07	25	025			     Suffolk County, MA
1122	1120	07	25	025	1	07000	        Boston city
1122	1120	07	25	025	1	13205	        Chelsea city
1122	1120	07	25	025	1	56585	        Revere city
1122	1120	07	25	025	1	80930	        Winthrop town
1122	1120	07	25	027			     Worcester County, MA (pt.)
1122	1120	07	25	027	2	05490	        Berlin town
1122	1120	07	25	027	2	06015	        Blackstone town
1122	1120	07	25	027	2	06365	        Bolton town
1122	1120	07	25	027	2	28950	        Harvard town
1122	1120	07	25	027	2	30945	        Hopedale town
1122	1120	07	25	027	2	34165	        Lancaster town
1122	1120	07	25	027	2	40255	        Mendon town
1122	1120	07	25	027	2	41165	        Milford town
1122	1120	07	25	027	2	41585	        Millville town
1122	1120	07	25	027	1	63165	        Southborough town
1122	1120	07	25	027	2	71480	        Upton town
1122	1120	07	33	015			     Rockingham County, NH (pt.)
1122	1120	07	33	015	2	68260	        Seabrook town
1122	1120	07	33	015	2	71140	        South Hampton town
1122	1200	07					   Brockton, MA PMSA
1122	1200	07	25	005			     Bristol County (pt.)
1122	1200	07	25	005	1	20100	        Easton town
1122	1200	07	25	005	1	56060	        Raynham town
1122	1200	07	25	021			     Norfolk County (pt.)
1122	1200	07	25	021	1	02935	        Avon town
1122	1200	07	25	023			     Plymouth County (pt.)
1122	1200	07	25	023	1	00170	        Abington town
1122	1200	07	25	023	1	08085	        Bridgewater town
1122	1200	07	25	023	1	09000	        Brockton city
1122	1200	07	25	023	1	18455	        East Bridgewater town
1122	1200	07	25	023	2	27795	        Halifax town
1122	1200	07	25	023	1	28495	        Hanson town
1122	1200	07	25	023	2	33920	        Lakeville town
1122	1200	07	25	023	2	40850	        Middleborough town
1122	1200	07	25	023	2	54415	        Plympton town
1122	1200	07	25	023	1	75260	        West Bridgewater town
1122	1200	07	25	023	1	79530	        Whitman town
1122	2600	07					   Fitchburg-Leominster, MA PMSA
1122	2600	07	25	017			     Middlesex County (pt.)
1122	2600	07	25	017	2	01955	        Ashby town
1122	2600	07	25	027			     Worcester County (pt.)
1122	2600	07	25	027	2	01885	        Ashburnham town
1122	2600	07	25	027	1	23875	        Fitchburg city
1122	2600	07	25	027	2	25485	        Gardner city
1122	2600	07	25	027	1	35075	        Leominster city
1122	2600	07	25	027	2	37420	        Lunenburg town
1122	2600	07	25	027	2	69275	        Templeton town
1122	2600	07	25	027	2	77010	        Westminster town
1122	2600	07	25	027	2	80405	        Winchendon town
1122	4160	07					   Lawrence, MA-NH PMSA
1122	4160	07	25	009			     Essex County, MA (pt.)
1122	4160	07	25	009	1	01465	        Andover town
1122	4160	07	25	009	2	07420	        Boxford town
1122	4160	07	25	009	2	25625	        Georgetown town
1122	4160	07	25	009	1	27620	        Groveland town
1122	4160	07	25	009	1	29405	        Haverhill city
1122	4160	07	25	009	1	34550	        Lawrence city
1122	4160	07	25	009	1	40430	        Merrimac town
1122	4160	07	25	009	1	40710	        Methuen city
1122	4160	07	25	009	1	46365	        North Andover town
