

METROPOLITAN AREAS AND COMPONENTS, 1998, WITH FIPS CODES

(Metropolitan areas defined by Office of Management and Budget, 6/30/98)

Source:			U.S. Census Bureau
Internet Release date:	July 1996
Revised date:		November 3, 1998 

The file layout is located at the end of the data file.

GUIDE TO FIPS CODES:
     MSA= Metropolitan Statistical Area
     CMSA= Consolidated Metropolitan Statistical Area  
     PMSA= Primary Metropolitan Statistical Area
     ALT. CM= Alternative Consolidated Metropolitan Statistical Area
     SS= State
     CCC= County
     EEEEE= Entity (city/town)

MSA/		ALT.
CMSA	PMSA	CM	SS	CCC	F	EEEEE	Metropolitan Area and Components
5602	5480	70	09	009	1	82800	        West Haven city
5602	5480	70	09	009	2	87700	        Woodbridge town
5602	5600	70					   New York, NY PMSA
5602	5600	70	36	005	1		     Bronx County
5602	5600	70	36	047	1		     Kings County
5602	5600	70	36	061	1		     New York County
5602	5600	70	36	079	2		     Putnam County
5602	5600	70	36	081	1		     Queens County
5602	5600	70	36	085	1		     Richmond County
5602	5600	70	36	087	1		     Rockland County
5602	5600	70	36	119	1		     Westchester County
5602	5640	70					   Newark, NJ PMSA
5602	5640	70	34	013	1		     Essex County
5602	5640	70	34	027	1		     Morris County
5602	5640	70	34	037	2		     Sussex County
5602	5640	70	34	039	1		     Union County
5602	5640	70	34	041	2		     Warren County
5602	5660	70					   Newburgh, NY-PA PMSA
5602	5660	70	36	071	1		     Orange County, NY
5602	5660	70	42	103	2		     Pike County, PA
5602	8040	70					   Stamford-Norwalk, CT PMSA
5602	8040	70	09	001			     Fairfield County (pt.)
5602	8040	70	09	001	1	18850	        Darien town
5602	8040	70	09	001	1	33620	        Greenwich town
5602	8040	70	09	001	1	50580	        New Canaan town
5602	8040	70	09	001	1	55990	        Norwalk city
5602	8040	70	09	001	1	73000	        Stamford city
5602	8040	70	09	001	2	83430	        Weston town
5602	8040	70	09	001	1	83500	        Westport town
5602	8040	70	09	001	2	86370	        Wilton town
5602	8480	70					   Trenton, NJ PMSA
5602	8480	70	34	021	1		     Mercer County
5602	8880	70					   Waterbury, CT PMSA
5602	8880	70	09	005			     Litchfield County (pt.)
5602	8880	70	09	005	2	04930	        Bethlehem town
5602    8880    70      09      005     2       75730	        Thomaston town
5602	8880	70	09	005	1	80490	        Watertown town
5602	8880	70	09	005	2	87910	        Woodbury town
5602	8880	70	09	009			     New Haven County (pt.)
5602	8880	70	09	009	1	46940	        Middlebury town
5602	8880	70	09	009	1	49880	        Naugatuck borough
5602	8880	70	09	009	2	62290	        Prospect town
5602	8880	70	09	009	2	69640	        Southbury town
5602	8880	70	09	009	1	80000	        Waterbury city
5602	8880	70	09	009	1	87560	        Wolcott town

5720							Norfolk-Virginia Beach-Newport News, VA-NC MSA
5720			37	053	2		     Currituck County, NC
5720			51	073	2		     Gloucester County, VA
5720			51	093	2		     Isle of Wight County, VA
5720			51	095	1		     James City County, VA
5720			51	115	2		     Mathews County, VA
5720			51	199	1		     York County, VA
5720			51	550	1		     Chesapeake city, VA
5720			51	650	1		     Hampton city, VA
5720			51	700	1		     Newport News city, VA
5720			51	710	1		     Norfolk city, VA
5720			51	735	1		     Poquoson city, VA
5720			51	740	1		     Portsmouth city, VA
5720			51	800	1		     Suffolk city, VA
5720			51	810	1		     Virginia Beach city, VA
5720			51	830	1		     Williamsburg city, VA

5790							Ocala, FL MSA
5790			12	083	1		     Marion County

5800							Odessa-Midland, TX MSA
5800			48	135	1		     Ector County
5800			48	329	1		     Midland County

5880							Oklahoma City, OK MSA
5880			40	017	1		     Canadian County
5880			40	027	1		     Cleveland County
5880			40	083	2		     Logan County
5880			40	087	2		     McClain County
5880			40	109	1		     Oklahoma County
5880			40	125	2		     Pottawatomie County

5920							Omaha, NE-IA MSA
5920			19	155	1		     Pottawattamie County, IA
5920			31	025	2		     Cass County, NE
5920			31	055	1		     Douglas County, NE
5920			31	153	1		     Sarpy County, NE
5920			31	177	2		     Washington County, NE

5960							Orlando, FL MSA
5960			12	069	2		     Lake County
5960			12	095	1		     Orange County
5960			12	097	1		     Osceola County
5960			12	117	1		     Seminole County

5990							Owensboro, KY MSA
5990			21	059	1		     Daviess County

6015							Panama City, FL MSA
6015			12	005	1		     Bay County

6020							Parkersburg-Marietta, WV-OH MSA
6020			39	167	2		     Washington County, OH
6020			54	107	1		     Wood County, WV

6080							Pensacola, FL MSA
6080			12	033	1		     Escambia County
6080			12	113	2		     Santa Rosa County

6120							Peoria-Pekin, IL MSA
6120			17	143	1		     Peoria County
6120			17	179	1		     Tazewell County
6120			17	203	2		     Woodford County

6162		77					Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD CMSA
6162	0560	77					   Atlantic-Cape May, NJ PMSA
6162	0560	77	34	001	1		     Atlantic County
6162	0560	77	34	009	2		     Cape May County
6162	6160	77					   Philadelphia, PA-NJ PMSA
6162	6160	77	34	005	1		     Burlington County, NJ
6162	6160	77	34	007	1		     Camden County, NJ
6162	6160	77	34	015	1		     Gloucester County, NJ
6162	6160	77	34	033	2		     Salem County, NJ
6162	6160	77	42	017	1		     Bucks County, PA
6162	6160	77	42	029	1		     Chester County, PA
6162	6160	77	42	045	1		     Delaware County, PA
6162	6160	77	42	091	1		     Montgomery County, PA
6162	6160	77	42	101	1		     Philadelphia County, PA
6162	8760	77					   Vineland-Millville-Bridgeton, NJ PMSA
6162	8760	77	34	011	1		     Cumberland County
6162	9160	77					   Wilmington-Newark, DE-MD PMSA
6162	9160	77	10	003	1		     New Castle County, DE
6162	9160	77	24	015	2		     Cecil County, MD

6200							Phoenix-Mesa, AZ MSA
6200			04	013	1		     Maricopa County
6200			04	021	2		     Pinal County

6240							Pine Bluff, AR MSA
6240			05	069	1		     Jefferson County

6280							Pittsburgh, PA MSA
6280			42	003	1		     Allegheny County
6280			42	007	1		     Beaver County
6280			42	019	2		     Butler County
6280			42	051	2		     Fayette County
6280			42	125	1		     Washington County
6280			42	129	1		     Westmoreland County

6320							Pittsfield, MA MSA
6320			25	003			     Berkshire County (pt.)
6320			25	003	2	00555	        Adams town
6320			25	003	2	13345	        Cheshire town
6320			25	003	1	16180	        Dalton town
6320			25	003	2	30315	        Hinsdale town
6320			25	003	2	34340	        Lanesborough town
6320			25	003	2	34655	        Lee town
6320			25	003	2	34970	        Lenox town
6320			25	003	1	53960	        Pittsfield city
6320			25	003	2	56795	        Richmond town
6320			25	003	2	67595	        Stockbridge town

6340							Pocatello, ID MSA
6340			16	005	1		     Bannock County

6360							Ponce, PR MSA
6360			72	059	2		     Guayanilla Municipio
6360			72	075	2		     Juana Diaz Municipio
6360			72	111	1		     Penuelas Municipio
6360			72	113	1		     Ponce Municipio
6360			72	149	2		     Villalba Municipio
6360			72	153	2		     Yauco Municipio

6400							Portland, ME MSA
6400			23	005			     Cumberland County (pt.)
6400			23	005	1	10180	        Cape Elizabeth town
6400			23	005	2	11125	        Casco town
6400			23	005	2	15430	        Cumberland town
6400			23	005	2	24495	        Falmouth town
6400			23	005	2	26525	        Freeport town
6400			23	005	2	28240	        Gorham town
6400			23	005	2	28870	        Gray town
6400			23	005	2	41067	        Long Island town
6400			23	005	2	53860	        North Yarmouth town
6400			23	005	1	60545	        Portland city
6400			23	005	2	61945	        Raymond town
6400			23	005	2	66145	        Scarborough town
6400			23	005	1	71990	        South Portland city
6400			23	005	2	73670	        Standish town
6400			23	005	1	82105	        Westbrook city
6400			23	005	2	86025	        Windham town
6400			23	005	2	87845	        Yarmouth town
6400			23	031	 		     York County (pt.)
6400			23	031	2	09410	        Buxton town
6400			23	031	2	33665	        Hollis town
6400			23	031	2	39405	        Limington town
6400			23	031	2	55085	        Old Orchard Beach town

6442		79					Portland-Salem, OR-WA CMSA
6442	6440	79					   Portland-Vancouver, OR-WA PMSA
6442	6440	79	41	005	1		     Clackamas County, OR
6442	6440	79	41	009	2		     Columbia County, OR
6442	6440	79	41	051	1		     Multnomah County, OR
6442	6440	79	41	067	1		     Washington County, OR
6442	6440	79	41	071	2		     Yamhill County, OR
6442	6440	79	53	011	1		     Clark County, WA
6442	7080	79					   Salem, OR PMSA
6442	7080	79	41	047	1		     Marion County
6442	7080	79	41	053	2		     Polk County

6480							Providence-Fall River-Warwick, RI-MA MSA
6480			25	005			     Bristol County, MA (pt.)
6480			25	005	1	02690	        Attleboro city
6480			25	005	1	23000	        Fall River city
6480			25	005	2	46575	        North Attleborough town
6480			25	005	2	56375	        Rehoboth town
6480			25	005	1	60645	        Seekonk town
6480			25	005	1	62430	        Somerset town
6480			25	005	1	68750	        Swansea town
6480			25	005	2	77570	        Westport town
6480			44	001			     Bristol County, RI
6480			44	001	1	05140	        Barrington town
6480			44	001	1	09280	        Bristol town
6480			44	001	1	73760	        Warren town
6480			44	003			     Kent County, RI
6480			44	003	1	18640	        Coventry town
6480			44	003	1	22240	        East Greenwich town
6480			44	003	1	74300	        Warwick city
6480			44	003	2	77720	        West Greenwich town
6480			44	003	1	78440	        West Warwick town
6480			44	005			     Newport County, RI (pt.)
6480			44	005	2	36820	        Jamestown town
6480			44	005	2	42400	        Little Compton town
6480			44	005	1	70880	        Tiverton town
6480			44	007			     Providence County, RI
6480			44	007	2	11800	        Burrillville town
6480			44	007	1	14140	        Central Falls city
6480			44	007	1	19180	        Cranston city
6480			44	007	1	20080	        Cumberland town
6480			44	007	1	22960	        East Providence city
6480			44	007	2	27460	        Foster town
6480			44	007	2	30340	        Glocester town
6480			44	007	1	37720	        Johnston town
6480			44	007	1	41500	        Lincoln town
6480			44	007	1	51760	        North Providence town
6480			44	007	1	52480	        North Smithfield town
6480			44	007	1	54640	        Pawtucket city
6480			44	007	1	59000	        Providence city
6480			44	007	2	64220	        Scituate town
6480			44	007	1	66200	        Smithfield town
6480			44	007	1	80780	        Woonsocket city
6480			44	009			     Washington County, RI (pt.)
6480			44	009	2	14500	        Charlestown town
6480			44	009	2	25300	        Exeter town
6480			44	009	2	48340	        Narragansett town
6480			44	009	1	51580	        North Kingstown town
6480			44	009	2	61160	        Richmond town
6480			44	009	2	67460	        South Kingstown town

6520							Provo-Orem, UT MSA
6520			49	049	1		     Utah County

6560							Pueblo, CO MSA
6560			08	101	1		     Pueblo County
					
6580							Punta Gorda, FL MSA
6580			12	015	1		     Charlotte County

6640							Raleigh-Durham-Chapel Hill, NC MSA
6640			37	037	2		     Chatham County
6640			37	063	1		     Durham County
6640			37	069	2		     Franklin County
6640			37	101	2		     Johnston County
6640			37	135	1		     Orange County
6640			37	183	1		     Wake County

6660							Rapid City, SD MSA
6660			46	103	1		     Pennington County

6680							Reading, PA MSA
6680			42	011	1		     Berks County

6690							Redding, CA MSA
6690			06	089	1		     Shasta County

6720							Reno, NV MSA
6720			32	031	1		     Washoe County

6740							Richland-Kennewick-Pasco, WA MSA
6740			53	005	1		     Benton County
6740			53	021	1		     Franklin County

6760							Richmond-Petersburg, VA MSA
6760			51	036	2		     Charles City County
6760			51	041	1		     Chesterfield County
6760			51	053	1		     Dinwiddie County
6760			51	075	2		     Goochland County
6760			51	085	2		     Hanover County
6760			51	087	1		     Henrico County
6760			51	127	2		     New Kent County
6760			51	145	2		     Powhatan County
6760			51	149	1		     Prince George County
6760			51	570	1		     Colonial Heights city
6760			51	670	1		     Hopewell city
6760			51	730	1		     Petersburg city
6760			51	760	1		     Richmond city

6800							Roanoke, VA MSA
6800			51	023	2		     Botetourt County
6800			51	161	1		     Roanoke County
6800			51	770	1		     Roanoke city
6800			51	775	1		     Salem city

6820							Rochester, MN MSA
6820			27	109	1		     Olmsted County

6840							Rochester, NY MSA
6840			36	037	2		     Genesee County
6840			36	051	2		     Livingston County
6840			36	055	1		     Monroe County
6840			36	069	2		     Ontario County
6840			36	073	2		     Orleans County
6840			36	117	2		     Wayne County

6880							Rockford, IL MSA
6880			17	007	2		     Boone County
6880			17	141	2		     Ogle County
6880			17	201	1		     Winnebago County

6895							Rocky Mount, NC MSA
6895			37	065	2		     Edgecombe County
6895			37	127	1		     Nash County

6922		82					Sacramento-Yolo, CA CMSA
6922	6920	82					   Sacramento, CA PMSA
6922	6920	82	06	017	2		     El Dorado County
6922	6920	82	06	061	2		     Placer County
6922	6920	82	06	067	1		     Sacramento County
6922	9270	82					   Yolo, CA PMSA
6922	9270	82	06	113	1		     Yolo County

6960							Saginaw-Bay City-Midland, MI MSA
6960			26	017	1		     Bay County
6960			26	111	2		     Midland County
6960			26	145	1		     Saginaw County

6980							St. Cloud, MN MSA
6980			27	009	1		     Benton County
6980			27	145	1		     Stearns County

7000							St. Joseph, MO MSA
7000			29	003	2		     Andrew County
7000			29	021	1		     Buchanan County

7040							St. Louis, MO-IL MSA
7040			17	027	2		     Clinton County, IL
7040			17	083	2		     Jersey County, IL
7040			17	119	1		     Madison County, IL
7040			17	133	2		     Monroe County, IL
7040			17	163	1		     St. Clair County, IL
7040			29	055	2		     Crawford County, MO (pt.)*
7040			29	071	2		     Franklin County, MO
7040			29	099	2		     Jefferson County, MO
7040			29	113	2		     Lincoln County, MO
7040			29	183	1		     St. Charles County, MO
7040			29	189	1		     St. Louis County, MO
7040			29	219	2		     Warren County, MO
7040			29	510	1		     St. Louis city, MO

7120							Salinas, CA MSA
7120			06	053	1		     Monterey County

7160							Salt Lake City-Ogden, UT MSA
7160			49	011	1		     Davis County
7160			49	035	1		     Salt Lake County
7160			49	057	1		     Weber County

7200							San Angelo, TX MSA
7200			48	451	1		     Tom Green County

7240							San Antonio, TX MSA
7240			48	029	1		     Bexar County
7240			48	091	2		     Comal County
7240			48	187	2		     Guadalupe County
7240			48	493	2		     Wilson County

7320							San Diego, CA MSA
7320			06	073	1		     San Diego County

7362		84					San Francisco-Oakland-San Jose, CA CMSA
7362	5775	84					   Oakland, CA PMSA
7362	5775	84	06	001	1		     Alameda County
7362	5775	84	06	013	1		     Contra Costa County
7362	7360	84					   San Francisco, CA PMSA
7362	7360	84	06	041	1		     Marin County
7362	7360	84	06	075	1		     San Francisco County
7362	7360	84	06	081	1		     San Mateo County
7362	7400	84					   San Jose, CA PMSA
7362	7400	84	06	085	1		     Santa Clara County
7362	7485	84					   Santa Cruz-Watsonville, CA PMSA
7362	7485	84	06	087	1		     Santa Cruz County
7362	7500	84					   Santa Rosa, CA PMSA
7362	7500	84	06	097	1		     Sonoma County
7362	8720	84					   Vallejo-Fairfield-Napa, CA PMSA
7362	8720	84	06	055	1		     Napa County
7362	8720	84	06	095	1		     Solano County

7442		87					San Juan-Caguas-Arecibo, PR CMSA
7442	0470	87					   Arecibo, PR PMSA
7442	0470	87	72	013	1		     Arecibo Municipio
7442	0470	87	72	027	2		     Camuy Municipio
7442	0470	87	72	065	1		     Hatillo Municipio
7442	1310	87					     Caguas, PR PMSA
7442	1310	87	72	025	1		     Caguas Municipio
7442	1310	87	72	035	1		     Cayey Municipio
7442	1310	87	72	041	1		     Cidra Municipio
7442	1310	87	72	063	1		     Gurabo Municipio
7442	1310	87	72	129	1		     San Lorenzo Municipio
7442	7440	87					   San Juan-Bayamon, PR PMSA
7442	7440	87	72	007	2		     Aguas Buenas Municipio
7442	7440	87	72	017	2		     Barceloneta Municipio
7442	7440	87	72	021	1		     Bayamon Municipio
7442	7440	87	72	029	1		     Canovanas Municipio
7442	7440	87	72	031	1		     Carolina Municipio
7442	7440	87	72	033	1		     Catano Municipio
7442	7440	87	72	037	2		     Ceiba Municipio
7442	7440	87	72	045	2		     Comerio Municipio
7442	7440	87	72	047	2		     Corozal Municipio
7442	7440	87	72	051	2		     Dorado Municipio
7442	7440	87	72	053	2		     Fajardo Municipio
7442	7440	87	72	054	2		     Florida Municipio
7442	7440	87	72	061	1		     Guaynabo Municipio
7442	7440	87	72	069	1		     Humacao Municipio
7442	7440	87	72	077	1		     Juncos Municipio
7442	7440	87	72	085	1		     Las Piedras Municipio
7442	7440	87	72	087	1		     Loiza Municipio
7442	7440	87	72	089	2		     Luquillo Municipio
7442	7440	87	72	091	1		     Manati Municipio
7442	7440	87	72	101	2		     Morovis Municipio
7442	7440	87	72	103	2		     Naguabo Municipio
7442	7440	87	72	105	2		     Naranjito Municipio
7442	7440	87	72	119	1		     Rio Grande Municipio
7442	7440	87	72	127	1		     San Juan Municipio
7442	7440	87	72	135	1		     Toa Alta Municipio
7442	7440	87	72	137	1		     Toa Baja Municipio
7442	7440	87	72	139	1		     Trujillo Alto Municipio
7442	7440	87	72	143	1		     Vega Alta Municipio
7442	7440	87	72	145	1		     Vega Baja Municipio
7442	7440	87	72	151	2		     Yabucoa Municipio

7460							San Luis Obispo-Atascadero-Paso Robles, CA MSA
7460			06	079	1		     San Luis Obispo County

7480							Santa Barbara-Santa Maria-Lompoc, CA MSA
7480			06	083	1		     Santa Barbara County

7490							Santa Fe, NM MSA
7490			35	028	2		     Los Alamos County
7490			35	049	1		     Santa Fe County

7510							Sarasota-Bradenton, FL MSA
7510			12	081	1		     Manatee County
7510			12	115	1		     Sarasota County

7520							Savannah, GA MSA
7520			13	029	2		     Bryan County
7520			13	051	1		     Chatham County
7520			13	103	2		     Effingham County

7560							Scranton--Wilkes-Barre--Hazleton, PA MSA
7560			42	037	2		     Columbia County
7560			42	069	1		     Lackawanna County
7560			42	079	1		     Luzerne County
7560			42	131	2		     Wyoming County

7602		91					Seattle-Tacoma-Bremerton, WA CMSA
7602	1150	91					   Bremerton, WA PMSA
7602	1150	91	53	035	1		     Kitsap County
7602	5910	91					   Olympia, WA PMSA
7602	5910	91	53	067	1		     Thurston County
7602	7600	91					   Seattle-Bellevue-Everett, WA PMSA
7602	7600	91	53	029	2		     Island County
7602	7600	91	53	033	1		     King County
7602	7600	91	53	061	1		     Snohomish County
7602	8200	91					   Tacoma, WA PMSA
7602	8200	91	53	053	1		     Pierce County

7610							Sharon, PA MSA
7610			42	085	1		     Mercer County

7620							Sheboygan, WI MSA
7620			55	117	1		     Sheboygan County

7640							Sherman-Denison, TX MSA
7640			48	181	1		     Grayson County

7680							Shreveport-Bossier City, LA MSA
7680			22	015	1		     Bossier Parish
7680			22	017	1		     Caddo Parish
7680			22	119	2		     Webster Parish

7720							Sioux City, IA-NE MSA
7720			19	193	1		     Woodbury County, IA
7720			31	043	1		     Dakota County, NE

7760							Sioux Falls, SD MSA
7760			46	083	2		     Lincoln County
7760			46	099	1		     Minnehaha County

7800							South Bend, IN MSA
7800			18	141	1		     St. Joseph County

7840							Spokane, WA MSA
7840			53	063	1		     Spokane County

7880							Springfield, IL MSA
7880			17	129	2		     Menard County
7880			17	167	1		     Sangamon County

7920							Springfield, MO MSA
7920			29	043	2		     Christian County
7920			29	077	1		     Greene County
7920			29	225	2		     Webster County

8000							Springfield, MA MSA
8000			25	011			     Franklin County (pt.)
8000			25	011	2	68400	        Sunderland town
8000			25	013			     Hampden County (pt.)
8000			25	013	1	00765	        Agawam city
8000			25	013	1	13660	        Chicopee city
8000			25	013	1	19645	        East Longmeadow town
8000			25	013	2	28075	        Hampden town
8000			25	013	1	30840	        Holyoke city
8000			25	013	1	36300	        Longmeadow town
8000			25	013	1	37175	        Ludlow town
8000			25	013	2	42145	        Monson town
8000			25	013	2	42530	        Montgomery town
8000			25	013	2	52105	        Palmer town
8000			25	013	2	58650	        Russell town
8000			25	013	2	65825	        Southwick town
8000			25	013	1	67000	        Springfield city
8000			25	013	1	76030	        Westfield city
8000			25	013	1	77850	        West Springfield town
8000			25	013	1	79740	        Wilbraham town
8000			25	015			     Hampshire County (pt.)
8000			25	015	2	01325	        Amherst town
8000			25	015	2	04825	        Belchertown town
8000			25	015	1	19330	        Easthampton town
8000			25	015	2	26535	        Granby town
8000			25	015	2	27690	        Hadley town
8000			25	015	2	29265	        Hatfield town
8000			25	015	2	31785	        Huntington town
8000			25	015	1	46330	        Northampton city
8000			25	015	2	62745	        Southampton town
8000			25	015	1	64145	        South Hadley town
8000			25	015	2	72880	        Ware town
8000			25	015	2	79915	        Williamsburg town

8050							State College, PA MSA
8050			42	027	1		     Centre County

8080							Steubenville-Weirton, OH-WV MSA
8080			39	081	1		     Jefferson County, OH
8080			54	009	2		     Brooke County, WV
8080			54	029	1		     Hancock County, WV

8120							Stockton-Lodi, CA MSA
8120			06	077	1		     San Joaquin County

8140							Sumter, SC MSA
8140			45	085	1		     Sumter County

8160							Syracuse, NY MSA
8160			36	011	2		     Cayuga County
8160			36	053	2		     Madison County
8160			36	067	1		     Onondaga County
8160			36	075	2		     Oswego County

8240							Tallahassee, FL MSA
8240			12	039	2		     Gadsden County
8240			12	073	1		     Leon County

8280							Tampa-St. Petersburg-Clearwater, FL MSA
8280			12	053	1		     Hernando County
8280			12	057	1		     Hillsborough County
8280			12	101	1		     Pasco County
8280			12	103	1		     Pinellas County

8320							Terre Haute, IN MSA
8320			18	021	2		     Clay County
8320			18	165	2		     Vermillion County
8320			18	167	1		     Vigo County

8360							Texarkana, TX-Texarkana, AR MSA
8360			05	091	1		     Miller County, AR
8360			48	037	1		     Bowie County, TX

8400							Toledo, OH MSA
8400			39	051	2		     Fulton County
8400			39	095	1		     Lucas County
8400			39	173	2		     Wood County

8440							Topeka, KS MSA
8440			20	177	1		     Shawnee County

8520							Tucson, AZ MSA
8520			04	019	1		     Pima County

8560							Tulsa, OK MSA
8560			40	037	2		     Creek County
8560			40	113	2		     Osage County
8560			40	131	2		     Rogers County
8560			40	143	1		     Tulsa County
8560			40	145	2		     Wagoner County

8600							Tuscaloosa, AL MSA
8600			01	125	1		     Tuscaloosa County

8640							Tyler, TX MSA
8640			48	423	1		     Smith County

8680							Utica-Rome, NY MSA
8680			36	043	2		     Herkimer County
8680			36	065	1		     Oneida County

8750							Victoria, TX MSA
8750			48	469	1		     Victoria County

8780							Visalia-Tulare-Porterville, CA MSA
8780			06	107	1		     Tulare County					
8800							Waco, TX MSA
8800			48	309	1		     McLennan County

8872		97					Washington-Baltimore, DC-MD-VA-WV CMSA
8872	0720	97					   Baltimore, MD PMSA
8872	0720	97	24	003	1		     Anne Arundel County
8872	0720	97	24	005	1		     Baltimore County
8872	0720	97	24	013	2		     Carroll County
8872	0720	97	24	025	1		     Harford County
8872	0720	97	24	027	1		     Howard County
8872	0720	97	24	035	2		     Queen Anne's County
8872	0720	97	24	510	1		     Baltimore city
8872	3180	97					   Hagerstown, MD PMSA
8872	3180	97	24	043	1		     Washington County
8872	8840	97					   Washington, DC-MD-VA-WV PMSA
8872	8840	97	11	001	1		     District of Columbia
8872	8840	97	24	009	2		     Calvert County, MD
8872	8840	97	24	017	2		     Charles County, MD
8872	8840	97	24	021	1		     Frederick County, MD
8872	8840	97	24	031	1		     Montgomery County, MD
8872	8840	97	24	033	1		     Prince George's County, MD
8872	8840	97	51	013	1		     Arlington County, VA
8872	8840	97	51	043	2		     Clarke County, VA
8872	8840	97	51	047	2		     Culpeper County, VA
8872	8840	97	51	059	1		     Fairfax County, VA
8872	8840	97	51	061	2		     Fauquier County, VA
8872	8840	97	51	099	2		     King George County, VA
8872	8840	97	51	107	2		     Loudoun County, VA
8872	8840	97	51	153	1		     Prince William County, VA
8872	8840	97	51	177	1		     Spotsylvania County, VA
8872	8840	97	51	179	2		     Stafford County, VA
8872	8840	97	51	187	2		     Warren County, VA
8872	8840	97	51	510	1		     Alexandria city, VA
8872	8840	97	51	600	1		     Fairfax city, VA
8872	8840	97	51	610	1		     Falls Church city, VA
8872	8840	97	51	630	1		     Fredericksburg city, VA
8872	8840	97	51	683	1		     Manassas city, VA
8872	8840	97	51	685	1		     Manassas Park city, VA
8872	8840	97	54	003	2		     Berkeley County, WV
8872	8840	97	54	037	2		     Jefferson County, WV

8920							Waterloo-Cedar Falls, IA MSA
8920			19	013	1		     Black Hawk County

8940							Wausau, WI MSA
8940			55	073	1		     Marathon County

8960							West Palm Beach-Boca Raton, FL MSA
8960			12	099	1		     Palm Beach County

9000							Wheeling, WV-OH MSA
9000			39	013	2		     Belmont County, OH
9000			54	051	2		     Marshall County, WV
9000			54	069	1		     Ohio County, WV

9040							Wichita, KS MSA
9040			20	015	2		     Butler County
9040			20	079	2		     Harvey County
9040			20	173	1		     Sedgwick County

9080							Wichita Falls, TX MSA
9080			48	009	2		     Archer County
9080			48	485	1		     Wichita County

9140							Williamsport, PA MSA
9140			42	081	1		     Lycoming County

9200							Wilmington, NC MSA
9200			37	019	2		     Brunswick County
9200			37	129	1		     New Hanover County

9260							Yakima, WA MSA
9260			53	077	1		     Yakima County

9280							York, PA MSA
9280			42	133	1		     York County

9320							Youngstown-Warren, OH MSA
9320			39	029	2		     Columbiana County
9320			39	099	1		     Mahoning County
9320			39	155	1		     Trumbull County

9340							Yuba City, CA MSA
9340			06	101	1		     Sutter County
9340			06	115	1		     Yuba County

9360							Yuma, AZ MSA
9360			04	27	1		     Yuma County


File Layout:

Character	Length		Field

1-4		4	Four-digit FIPS MSA/CMSA code (6/30/98 definition)
5-6		2	Blank
7-10		4	Four-digit FIPS PMSA code (6/30/98 definition)
11-12		2	Blank
13-14		2	Alternative two-digit FIPS CMSA code (6/30/98 definition)
15-18		4	Blank
19-20		2	FIPS state code (blank at MA level)
21-25		5	Blank
26-28		3	FIPS county code (blank at MA level)
29-31		3	Blank
32		1	Central county or town flag (1 = central, 2 = outlying)
33-37		5	Blank
38-42		5	FIPS entity code (blank at MA and county levels)
43-49		7	Blank
50-99		49	Area title, county name, and town name

* The portion of Sullivan city in Crawford County, Missouri, is legally 
part of the St. Louis, MO-Il MSA.  The 1990 census tabulations and 
intercensal estimates for the St. Louis, MO-IL MSA do not include this area.
